TIMESTAMPS,COUNTS_c/s,HT_Voltage,TEMPERATURE_C
2025-12-06 12:41:41,"+25.00015E+03
",1000,20
2025-12-06 12:41:42,"+25.00015E+03
",1000,20
2025-12-06 12:41:43,"+25.00015E+03
",1000,20
2025-12-06 12:41:44,"+25.00015E+03
",1000,20
2025-12-06 12:41:45,"+25.00015E+03
",1000,20
2025-12-06 12:41:46,"+25.00015E+03
",1000,20
2025-12-06 12:41:47,"+25.00015E+03
",1000,20
2025-12-06 12:41:48,"+25.00015E+03
",1000,20
2025-12-06 12:41:49,"+25.00015E+03
",1000,20
2025-12-06 12:41:50,"+25.00015E+03
",1000,20
2025-12-06 12:41:51,"+25.00015E+03
",1000,20
2025-12-06 12:41:52,"+25.00015E+03
",1000,20
2025-12-06 12:41:53,"+25.00015E+03
",1000,20
2025-12-06 12:41:54,"+25.00015E+03
",1000,20
2025-12-06 12:41:55,"+25.00015E+03
",1000,20
2025-12-06 12:41:56,"+25.00015E+03
",1000,20
2025-12-06 12:41:57,"+25.00015E+03
",1000,20
2025-12-06 12:41:58,"+25.00015E+03
",1000,20
2025-12-06 12:41:59,"+25.00015E+03
",1000,20
2025-12-06 12:42:00,"+25.00015E+03
",1000,20
2025-12-06 12:42:01,"+25.00015E+03
",1000,20
2025-12-06 12:42:02,"+25.00015E+03
",1000,20
2025-12-06 12:42:03,"+25.00015E+03
",1000,20
2025-12-06 12:42:04,"+25.00015E+03
",1000,20
2025-12-06 12:42:05,"+25.00015E+03
",1000,20
2025-12-06 12:42:06,"+25.00015E+03
",1000,20
2025-12-06 12:42:07,"+25.00015E+03
",1000,20
2025-12-06 12:42:08,"+25.00015E+03
",1000,20
2025-12-06 12:42:09,"+25.00015E+03
",1000,20
2025-12-06 12:42:10,"+25.00015E+03
",1000,20
2025-12-06 12:42:11,"+25.00015E+03
",1000,20
2025-12-06 12:42:12,"+25.00015E+03
",1000,20
2025-12-06 12:42:13,"+25.00015E+03
",1000,20
2025-12-06 12:42:14,"+25.00015E+03
",1000,20
2025-12-06 12:42:15,"+25.00015E+03
",1000,20
2025-12-06 12:42:16,"+25.00015E+03
",1000,20
2025-12-06 12:42:17,"+25.00015E+03
",1000,20
2025-12-06 12:42:18,"+25.00015E+03
",1000,20
2025-12-06 12:42:19,"+25.00015E+03
",1000,20
2025-12-06 12:42:20,"+25.00015E+03
",1000,20
2025-12-06 12:42:21,"+25.00015E+03
",1000,20
2025-12-06 12:42:22,"+25.00015E+03
",1000,20
2025-12-06 12:42:23,"+25.00015E+03
",1000,20
2025-12-06 12:42:24,"+25.00015E+03
",1000,20
2025-12-06 12:42:25,"+25.00015E+03
",1000,20
2025-12-06 12:42:26,"+25.00015E+03
",1000,20
2025-12-06 12:42:27,"+25.00015E+03
",1000,20
2025-12-06 12:42:28,"+25.00015E+03
",1000,20
2025-12-06 12:42:29,"+25.00015E+03
",1000,20
2025-12-06 12:42:30,"+25.00015E+03
",1000,20
2025-12-06 12:42:31,"+25.00015E+03
",1000,20
2025-12-06 12:42:32,"+25.00015E+03
",1000,20
2025-12-06 12:42:33,"+25.00015E+03
",1000,20
2025-12-06 12:42:34,"+25.00015E+03
",1000,20
2025-12-06 12:42:35,"+25.00015E+03
",1000,20
2025-12-06 12:42:36,"+25.00015E+03
",1000,20
2025-12-06 12:42:37,"+25.00015E+03
",1000,20
2025-12-06 12:42:38,"+25.00015E+03
",1000,20
2025-12-06 12:42:39,"+25.00015E+03
",1000,20
2025-12-06 12:42:40,"+25.00015E+03
",1000,20
2025-12-06 12:42:41,"+25.00015E+03
",1000,20
2025-12-06 12:42:42,"+25.00015E+03
",1000,20
2025-12-06 12:42:43,"+25.00015E+03
",1000,20
2025-12-06 12:42:44,"+25.00015E+03
",1000,20
2025-12-06 12:42:45,"+25.00015E+03
",1000,20
2025-12-06 12:42:46,"+25.00015E+03
",1000,20
